Year,state_id,Production(BU),Plant_Area(km^2),Harvest_Area(km^2),State_Code,State_Name
1987,34,1414831.426,10263.08745,4442.472143,ND,NORTH DAKOTA
1987,35,181173837.8,21425.77473,21425.77473,OH,OHIO
1987,36,1697451.334,1962.653606,1226.021864,OK,OKLAHOMA
1987,37,0,0,0,OR,OREGON
1987,38,28627950.64,2970.793822,2970.793822,PA,PENNSYLVANIA
1987,39,0,0,0,RI,RHODE ISLAND
1987,40,15689699.83,2465.512978,2465.512978,SC,SOUTH CAROLINA
1987,41,2319079.123,25805.49674,4777.522298,SD,SOUTH DAKOTA
1987,42,24418667.4,5547.756826,5494.584587,TN,TENNESSEE
1987,43,881624.6135,1873.47994,828.9088218,TX,TEXAS
1987,44,0,0,0,UT,UTAH
1987,45,2157468.531,249.5679782,249.5679782,VT,VERMONT
1987,46,11642360.23,2592.931677,2587.864921,VA,VIRGINIA
1987,47,0,0,0,WA,WASHINGTON
1987,48,5322642.617,573.0847932,573.0847932,WV,WEST VIRGINIA
1987,49,32035323.88,6939.843544,6803.787399,WI,WISCONSIN
1987,50,0,0,0,WY,WYOMING
1988,0,4993500.297,1409.512686,1409.512686,AL,ALABAMA
1988,2,0,0,0,AZ,ARIZONA
1988,3,3033367.436,2563.870809,2203.341216,AR,ARKANSAS
1988,4,0,0,0,CA,CALIFORNIA
1988,5,112827.4402,300.7122512,241.6005981,CO,COLORADO
1988,6,226585.2634,67.92680844,67.92680844,CT,CONNECTICUT
1988,7,3593610.187,714.7152845,714.7152845,DE,DELAWARE
1988,8,1948.012066,0.624491933,0.624491933,DC,DISTRICT OF COLUMBIA
1988,9,313077.2393,80.02636543,80.02636543,FL,FLORIDA
1988,10,5861949.133,1142.201006,1142.201006,GA,GEORGIA
1988,12,0,0,0,ID,IDAHO
1988,13,27272907.64,46905.37075,33579.87147,IL,ILLINOIS
1988,14,40542022.76,26412.12172,24398.45394,IN,INDIANA
1988,15,6263423.06,51002.01203,18088.47512,IA,IOWA
1988,16,518240.3454,13167.4093,1107.419081,KS,KANSAS
1988,17,21948458.67,7232.863683,7185.600784,KY,KENTUCKY
1988,18,9154826.578,3990.215794,3972.708867,LA,LOUISIANA
1988,19,725431.5935,85.00254239,85.00254239,ME,MAINE
1988,20,12207134.89,2063.846185,2063.846185,MD,MARYLAND
1988,21,629214.4195,118.7673329,118.7673329,MA,MASSACHUSETTS
1988,22,14292516,9120.318891,9099.027692,MI,MICHIGAN
