Year,Units,scenario,region,sector,value
2053,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.06008066
2054,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.06021498
2055,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.0603493
2056,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.06008658
2057,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.05982386
2058,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.059561140000000005
2059,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.059298420000000004
2060,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.0590357
2061,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.05859128
2062,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.05814686
2063,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.05770244
2064,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.05725802
2065,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.0568136
2066,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.05755668
2067,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.05829976
2068,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.05904284
2069,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.05978592
2070,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.060529
2071,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.05965412
2072,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.058779239999999996
2073,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.05790436
2074,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.05702948
2075,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.0561546
2076,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.05640314
2077,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.056651679999999996
2078,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.05690022
2079,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.05714876
2080,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.0573973
2081,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.0578064
2082,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.058215499999999996
2083,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.0586246
2084,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.059033699999999995
2085,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.0594428
2086,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.05890122
2087,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.05835964
2088,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.05781806
2089,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.05727648
2090,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.0567349
